# header lines commented out 3/9 JL
#Spectrum Name:,
#Description:,
#Student ID:,
#Detector Used:,
#Comments:,
#Acquisition Mode:,Mossbauer
#Mossbauer Dwell Time:,0.1 mSeconds
#Elapsed Passes:,5000 
#High Voltage:,1800
#Conversion Gain:,2048
#Coarse Gain:,32
#Fine Gain:,1.78
#ULD:,  40%
#LLD:,  22%
#
#Channel Data:
#Chan,Dwell(mSec.),Counts
332,     33.30,84
333,     33.40,88
334,     33.50,85
335,     33.60,104
336,     33.70,83
337,     33.80,87
338,     33.90,90
339,     34.00,84
340,     34.10,65
341,     34.20,71
342,     34.30,85
343,     34.40,91
344,     34.50,83
345,     34.60,72
346,     34.70,82
347,     34.80,104
348,     34.90,105
349,     35.00,84
350,     35.10,79
351,     35.20,99
352,     35.30,87
353,     35.40,94
354,     35.50,89
355,     35.60,81
356,     35.70,72
357,     35.80,81
358,     35.90,90
359,     36.00,90
360,     36.10,93
361,     36.20,68
362,     36.30,79
363,     36.40,84
364,     36.50,96
365,     36.60,81
366,     36.70,95
367,     36.80,90
368,     36.90,90
369,     37.00,71
370,     37.10,81
371,     37.20,97
372,     37.30,73
373,     37.40,91
374,     37.50,91
375,     37.60,83
376,     37.70,79
377,     37.80,78
378,     37.90,79
379,     38.00,88
380,     38.10,85
381,     38.20,67
382,     38.30,93
383,     38.40,83
384,     38.50,84
385,     38.60,95
386,     38.70,79
387,     38.80,95
388,     38.90,89
389,     39.00,92
390,     39.10,114
391,     39.20,94
392,     39.30,98
393,     39.40,77
394,     39.50,104
395,     39.60,94
396,     39.70,87
397,     39.80,89
398,     39.90,91
399,     40.00,101
400,     40.10,97
401,     40.20,98
402,     40.30,71
403,     40.40,82
404,     40.50,78
405,     40.60,87
406,     40.70,75
407,     40.80,80
408,     40.90,97
409,     41.00,78
410,     41.10,92
411,     41.20,70
412,     41.30,93
413,     41.40,86
414,     41.50,75
415,     41.60,112
416,     41.70,81
417,     41.80,88
418,     41.90,92
419,     42.00,89
420,     42.10,96
421,     42.20,84
422,     42.30,79
423,     42.40,90
424,     42.50,98
425,     42.60,88
426,     42.70,94
427,     42.80,100
428,     42.90,93
429,     43.00,78
430,     43.10,90
431,     43.20,98
432,     43.30,73
433,     43.40,88
434,     43.50,94
435,     43.60,69
436,     43.70,90
437,     43.80,85
438,     43.90,79
439,     44.00,97
440,     44.10,82
441,     44.20,78
442,     44.30,82
443,     44.40,95
444,     44.50,81
445,     44.60,90
446,     44.70,81
447,     44.80,89
448,     44.90,76
449,     45.00,86
450,     45.10,87
451,     45.20,80
452,     45.30,66
453,     45.40,89
454,     45.50,85
455,     45.60,88
456,     45.70,86
457,     45.80,94
458,     45.90,66
459,     46.00,80
460,     46.10,85
461,     46.20,78
462,     46.30,88
463,     46.40,77
464,     46.50,90
465,     46.60,74
466,     46.70,73
467,     46.80,100
468,     46.90,67
469,     47.00,80
470,     47.10,86
471,     47.20,79
472,     47.30,79
473,     47.40,84
474,     47.50,73
475,     47.60,83
476,     47.70,87
477,     47.80,72
478,     47.90,76
479,     48.00,75
480,     48.10,85
481,     48.20,85
482,     48.30,79
483,     48.40,63
484,     48.50,82
485,     48.60,54
486,     48.70,73
487,     48.80,69
488,     48.90,71
489,     49.00,88
490,     49.10,65
491,     49.20,68
492,     49.30,61
493,     49.40,53
494,     49.50,60
495,     49.60,69
496,     49.70,59
497,     49.80,57
498,     49.90,58
499,     50.00,74
500,     50.10,80
501,     50.20,50
502,     50.30,68
503,     50.40,61
504,     50.50,69
505,     50.60,55
506,     50.70,63
507,     50.80,44
508,     50.90,61
509,     51.00,54
510,     51.10,56
511,     51.20,57
512,     51.30,53
513,     51.40,56
514,     51.50,60
515,     51.60,57
516,     51.70,47
517,     51.80,50
518,     51.90,47
519,     52.00,77
520,     52.10,57
521,     52.20,57
522,     52.30,63
523,     52.40,63
524,     52.50,59
525,     52.60,65
526,     52.70,70
527,     52.80,80
528,     52.90,95
529,     53.00,64
530,     53.10,63
531,     53.20,95
532,     53.30,66
533,     53.40,72
534,     53.50,65
535,     53.60,71
536,     53.70,81
537,     53.80,92
538,     53.90,88
539,     54.00,81
540,     54.10,64
541,     54.20,61
542,     54.30,73
543,     54.40,81
544,     54.50,80
545,     54.60,80
546,     54.70,73
547,     54.80,90
548,     54.90,91
549,     55.00,95
550,     55.10,81
551,     55.20,107
552,     55.30,97
553,     55.40,82
554,     55.50,75
555,     55.60,86
556,     55.70,90
557,     55.80,74
558,     55.90,82
559,     56.00,82
560,     56.10,67
561,     56.20,102
562,     56.30,88
563,     56.40,91
564,     56.50,82
565,     56.60,79
566,     56.70,105
567,     56.80,93
568,     56.90,77
569,     57.00,61
570,     57.10,79
571,     57.20,82
572,     57.30,95
573,     57.40,68
574,     57.50,95
575,     57.60,95
576,     57.70,98
577,     57.80,82
578,     57.90,70
579,     58.00,75
580,     58.10,99
581,     58.20,99
582,     58.30,79
583,     58.40,91
584,     58.50,83
585,     58.60,94
586,     58.70,90
587,     58.80,85
588,     58.90,94
589,     59.00,86
590,     59.10,89
591,     59.20,78
592,     59.30,82
593,     59.40,85
594,     59.50,81
595,     59.60,75
596,     59.70,81
597,     59.80,84
598,     59.90,90
599,     60.00,84
600,     60.10,85
601,     60.20,83
602,     60.30,94
603,     60.40,88
604,     60.50,105
605,     60.60,78
606,     60.70,89
607,     60.80,95
608,     60.90,89
609,     61.00,82
610,     61.10,80
611,     61.20,85
612,     61.30,73
613,     61.40,88
614,     61.50,97
615,     61.60,87
616,     61.70,92
617,     61.80,93
618,     61.90,83
619,     62.00,71
620,     62.10,70
621,     62.20,84
622,     62.30,82
623,     62.40,92
624,     62.50,88
625,     62.60,79
626,     62.70,107
627,     62.80,78
628,     62.90,78
629,     63.00,90
630,     63.10,77
631,     63.20,80
632,     63.30,81
633,     63.40,76
634,     63.50,89
635,     63.60,71
636,     63.70,89
637,     63.80,96
638,     63.90,80
639,     64.00,107
640,     64.10,72
641,     64.20,79
642,     64.30,97
643,     64.40,84
644,     64.50,80
645,     64.60,91
646,     64.70,86
647,     64.80,70
648,     64.90,82
649,     65.00,76
650,     65.10,91
651,     65.20,88
652,     65.30,106
653,     65.40,104
654,     65.50,72
655,     65.60,66
656,     65.70,86
657,     65.80,68
658,     65.90,74
659,     66.00,79
660,     66.10,95
661,     66.20,79
662,     66.30,90
663,     66.40,78
664,     66.50,87
665,     66.60,79
666,     66.70,81
667,     66.80,88
668,     66.90,78
669,     67.00,90
670,     67.10,82
671,     67.20,90
672,     67.30,77
673,     67.40,76
674,     67.50,83
675,     67.60,77
676,     67.70,81
677,     67.80,73
678,     67.90,65
679,     68.00,85
680,     68.10,99
681,     68.20,68
682,     68.30,66
683,     68.40,97
684,     68.50,62
685,     68.60,61
686,     68.70,74
687,     68.80,78
688,     68.90,77
689,     69.00,76
690,     69.10,89
691,     69.20,64
692,     69.30,85
693,     69.40,76
694,     69.50,88
