Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,2508 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
335,     33.60,45
336,     33.70,57
337,     33.80,44
338,     33.90,49
339,     34.00,35
340,     34.10,43
341,     34.20,39
342,     34.30,52
343,     34.40,44
344,     34.50,40
345,     34.60,47
346,     34.70,42
347,     34.80,37
348,     34.90,42
349,     35.00,51
350,     35.10,43
351,     35.20,41
352,     35.30,50
353,     35.40,37
354,     35.50,56
355,     35.60,38
356,     35.70,31
357,     35.80,46
358,     35.90,49
359,     36.00,48
360,     36.10,55
361,     36.20,45
362,     36.30,50
363,     36.40,43
364,     36.50,39
365,     36.60,46
366,     36.70,52
367,     36.80,44
368,     36.90,46
369,     37.00,55
370,     37.10,35
371,     37.20,48
372,     37.30,47
373,     37.40,44
374,     37.50,56
375,     37.60,49
376,     37.70,41
377,     37.80,42
378,     37.90,43
379,     38.00,36
380,     38.10,41
381,     38.20,33
382,     38.30,38
383,     38.40,31
384,     38.50,35
385,     38.60,46
386,     38.70,43
387,     38.80,43
388,     38.90,52
389,     39.00,42
390,     39.10,52
391,     39.20,47
392,     39.30,43
393,     39.40,51
394,     39.50,49
395,     39.60,36
396,     39.70,41
397,     39.80,36
398,     39.90,46
399,     40.00,49
400,     40.10,45
401,     40.20,54
402,     40.30,48
403,     40.40,30
404,     40.50,33
405,     40.60,58
406,     40.70,56
407,     40.80,43
408,     40.90,35
409,     41.00,45
410,     41.10,36
411,     41.20,48
412,     41.30,45
413,     41.40,40
414,     41.50,38
415,     41.60,39
416,     41.70,46
417,     41.80,45
418,     41.90,41
419,     42.00,45
420,     42.10,52
421,     42.20,39
422,     42.30,50
423,     42.40,46
424,     42.50,38
425,     42.60,45
426,     42.70,39
427,     42.80,47
428,     42.90,42
429,     43.00,39
430,     43.10,58
