,CH1,CH2
Second,Volt,Volt
-5.05600e+00,4.80e-04,-2.00e-02, 
-5.05453e+00,4.80e-04,-2.00e-02, 
-5.05307e+00,4.80e-04,-2.00e-02, 
-5.05161e+00,4.80e-04,-2.00e-02, 
-5.05014e+00,4.80e-04,-2.00e-02, 
-5.04868e+00,5.60e-04,-2.00e-02, 
-5.04721e+00,5.60e-04,-2.00e-02, 
-5.04575e+00,7.20e-04,-4.00e-02, 
-5.04428e+00,4.80e-04,-4.00e-02, 
-5.04282e+00,4.80e-04,-2.00e-02, 
-5.04135e+00,6.40e-04,-2.00e-02, 
-5.03989e+00,5.60e-04,-2.00e-02, 
-5.03842e+00,8.00e-04,-2.00e-02, 
-5.03696e+00,8.00e-04,-2.00e-02, 
-5.03549e+00,5.60e-04,-2.00e-02, 
-5.03403e+00,4.80e-04,-2.00e-02, 
-5.03256e+00,4.80e-04,-2.00e-02, 
-5.03110e+00,5.60e-04,-2.00e-02, 
-5.02963e+00,5.60e-04,-2.00e-02, 
-5.02817e+00,5.60e-04,0.00e+00, 
-5.02670e+00,6.40e-04,0.00e+00, 
-5.02524e+00,8.00e-04,0.00e+00, 
-5.02377e+00,4.00e-04,-2.00e-02, 
-5.02231e+00,8.00e-04,0.00e+00, 
-5.02084e+00,6.40e-04,0.00e+00, 
-5.01938e+00,7.20e-04,-2.00e-02, 
-5.01791e+00,5.60e-04,-2.00e-02, 
-5.01645e+00,9.60e-04,0.00e+00, 
-5.01498e+00,4.00e-04,0.00e+00, 
-5.01352e+00,2.40e-04,0.00e+00, 
-5.01205e+00,4.00e-04,-2.00e-02, 
-5.01059e+00,5.60e-04,2.00e-02, 
-5.00912e+00,5.60e-04,2.00e-02, 
-5.00766e+00,6.40e-04,2.00e-02, 
-5.00620e+00,5.60e-04,2.00e-02, 
-5.00473e+00,6.40e-04,0.00e+00, 
-5.00327e+00,8.00e-04,0.00e+00, 
-5.00180e+00,4.80e-04,2.00e-02, 
-5.00034e+00,5.60e-04,2.00e-02, 
-4.99887e+00,5.60e-04,2.00e-02, 
-4.99741e+00,5.60e-04,2.00e-02, 
-4.99594e+00,5.60e-04,2.00e-02, 
-4.99448e+00,5.60e-04,2.00e-02, 
-4.99301e+00,4.80e-04,0.00e+00, 
-4.99155e+00,8.00e-04,2.00e-02, 
-4.99008e+00,2.40e-04,2.00e-02, 
-4.98862e+00,5.60e-04,2.00e-02, 
-4.98715e+00,5.60e-04,2.00e-02, 
-4.98569e+00,2.40e-04,2.00e-02, 
-4.98422e+00,4.80e-04,2.00e-02, 
-4.98276e+00,4.80e-04,2.00e-02, 
-4.98129e+00,5.60e-04,2.00e-02, 
-4.97983e+00,5.60e-04,6.00e-02, 
-4.97836e+00,5.60e-04,4.00e-02, 
-4.97690e+00,6.40e-04,2.00e-02, 
-4.97543e+00,4.00e-04,4.00e-02, 
-4.97397e+00,4.80e-04,2.00e-02, 
-4.97250e+00,6.40e-04,6.00e-02, 
-4.97104e+00,4.80e-04,6.00e-02, 
-4.96957e+00,1.60e-04,6.00e-02, 
-4.96811e+00,6.40e-04,4.00e-02, 
-4.96664e+00,3.20e-04,4.00e-02, 
-4.96518e+00,4.00e-04,6.00e-02, 
-4.96371e+00,5.60e-04,6.00e-02, 
-4.96225e+00,4.80e-04,6.00e-02, 
-4.96078e+00,2.40e-04,4.00e-02, 
-4.95932e+00,2.40e-04,4.00e-02, 
-4.95786e+00,0.00e+00,6.00e-02, 
-4.95639e+00,3.20e-04,6.00e-02, 
-4.95493e+00,4.00e-04,6.00e-02, 
-4.95346e+00,3.20e-04,4.00e-02, 
-4.95200e+00,5.60e-04,6.00e-02, 
-4.95053e+00,2.40e-04,6.00e-02, 
-4.94907e+00,-2.40e-04,6.00e-02, 
-4.94760e+00,-8.00e-05,8.00e-02, 
-4.94614e+00,-8.00e-05,6.00e-02, 
-4.94467e+00,-8.00e-05,6.00e-02, 
-4.94321e+00,-2.40e-04,6.00e-02, 
-4.94174e+00,-1.60e-04,6.00e-02, 
-4.94028e+00,-8.00e-05,8.00e-02, 
-4.93881e+00,-3.20e-04,6.00e-02, 
-4.93735e+00,-3.20e-04,6.00e-02, 
-4.93588e+00,-4.00e-04,6.00e-02, 
-4.93442e+00,-8.80e-04,6.00e-02, 
-4.93295e+00,-3.20e-04,6.00e-02, 
-4.93149e+00,-7.20e-04,8.00e-02, 
-4.93002e+00,-8.80e-04,6.00e-02, 
-4.92856e+00,-8.80e-04,6.00e-02, 
-4.92709e+00,-8.80e-04,8.00e-02, 
-4.92563e+00,-8.00e-04,8.00e-02, 
-4.92416e+00,-8.80e-04,8.00e-02, 
-4.92270e+00,-1.12e-03,1.00e-01, 
-4.92123e+00,-1.20e-03,8.00e-02, 
-4.91977e+00,-8.80e-04,1.00e-01, 
-4.91830e+00,-1.36e-03,1.00e-01, 
-4.91684e+00,-1.28e-03,1.00e-01, 
-4.91537e+00,-1.52e-03,8.00e-02, 
-4.91391e+00,-1.76e-03,8.00e-02, 
-4.91245e+00,-1.76e-03,8.00e-02, 
-4.91098e+00,-1.44e-03,1.00e-01, 
-4.90952e+00,-1.76e-03,1.00e-01, 
-4.90805e+00,-1.76e-03,1.00e-01, 
-4.90659e+00,-1.76e-03,1.20e-01, 
-4.90512e+00,-1.68e-03,1.20e-01, 
-4.90366e+00,-1.68e-03,1.00e-01, 
-4.90219e+00,-1.76e-03,1.00e-01, 
-4.90073e+00,-1.76e-03,1.00e-01, 
-4.89926e+00,-1.44e-03,1.00e-01, 
-4.89780e+00,-1.92e-03,1.00e-01, 
-4.89633e+00,-1.68e-03,1.20e-01, 
-4.89487e+00,-1.44e-03,1.00e-01, 
-4.89340e+00,-1.44e-03,1.00e-01, 
-4.89194e+00,-1.44e-03,8.00e-02, 
-4.89047e+00,-1.28e-03,1.00e-01, 
-4.88901e+00,-1.20e-03,1.20e-01, 
-4.88754e+00,-1.20e-03,1.20e-01, 
-4.88608e+00,-9.60e-04,1.00e-01, 
-4.88461e+00,-9.60e-04,1.00e-01, 
-4.88315e+00,-1.04e-03,1.20e-01, 
-4.88168e+00,-8.00e-04,1.20e-01, 
-4.88022e+00,-5.60e-04,1.20e-01, 
-4.87875e+00,-6.40e-04,1.40e-01, 
-4.87729e+00,-5.60e-04,1.40e-01, 
-4.87582e+00,-2.40e-04,1.20e-01, 
-4.87436e+00,-1.60e-04,1.40e-01, 
-4.87289e+00,0.00e+00,1.40e-01, 
-4.87143e+00,1.60e-04,1.20e-01, 
-4.86996e+00,1.60e-04,1.40e-01, 
-4.86850e+00,2.40e-04,1.20e-01, 
-4.86703e+00,0.00e+00,1.00e-01, 
-4.86557e+00,4.00e-04,1.40e-01, 
-4.86411e+00,4.80e-04,1.20e-01, 
-4.86264e+00,8.00e-04,1.40e-01, 
-4.86118e+00,7.20e-04,1.40e-01, 
-4.85971e+00,7.20e-04,1.40e-01, 
-4.85825e+00,5.60e-04,1.40e-01, 
-4.85678e+00,7.20e-04,1.60e-01, 
-4.85532e+00,9.60e-04,1.40e-01, 
-4.85385e+00,1.20e-03,1.40e-01, 
-4.85239e+00,8.80e-04,1.40e-01, 
-4.85092e+00,1.04e-03,1.40e-01, 
-4.84946e+00,1.44e-03,1.60e-01, 
-4.84799e+00,1.28e-03,1.60e-01, 
-4.84653e+00,1.12e-03,1.40e-01, 
-4.84506e+00,8.00e-04,1.40e-01, 
-4.84360e+00,1.36e-03,1.60e-01, 
-4.84213e+00,1.28e-03,1.40e-01, 
-4.84067e+00,1.68e-03,1.40e-01, 
-4.83920e+00,1.36e-03,1.80e-01, 
-4.83774e+00,1.44e-03,1.40e-01, 
-4.83627e+00,1.84e-03,1.60e-01, 
-4.83481e+00,1.52e-03,1.60e-01, 
-4.83334e+00,1.68e-03,1.60e-01, 
-4.83188e+00,1.44e-03,1.60e-01, 
-4.83041e+00,1.52e-03,1.60e-01, 
-4.82895e+00,1.68e-03,1.60e-01, 
-4.82748e+00,1.84e-03,1.60e-01, 
-4.82602e+00,1.44e-03,1.60e-01, 
-4.82455e+00,1.60e-03,1.80e-01, 
-4.82309e+00,1.68e-03,2.00e-01, 
-4.82162e+00,1.52e-03,1.40e-01, 
-4.82016e+00,1.68e-03,1.80e-01, 
-4.81870e+00,1.60e-03,1.60e-01, 
-4.81723e+00,1.68e-03,1.60e-01, 
-4.81577e+00,1.52e-03,1.80e-01, 
-4.81430e+00,1.60e-03,1.80e-01, 
-4.81284e+00,1.60e-03,1.80e-01, 
-4.81137e+00,1.44e-03,1.60e-01, 
-4.80991e+00,1.76e-03,1.80e-01, 
-4.80844e+00,1.68e-03,2.00e-01, 
-4.80698e+00,1.68e-03,1.80e-01, 
-4.80551e+00,1.68e-03,2.00e-01, 
-4.80405e+00,2.00e-03,1.80e-01, 
-4.80258e+00,1.84e-03,1.80e-01, 
-4.80112e+00,1.52e-03,1.80e-01, 
-4.79965e+00,1.36e-03,1.80e-01, 
-4.79819e+00,1.68e-03,2.00e-01, 
-4.79672e+00,1.60e-03,2.00e-01, 
-4.79526e+00,1.44e-03,1.80e-01, 
-4.79379e+00,1.68e-03,1.80e-01, 
-4.79233e+00,1.68e-03,2.00e-01, 
-4.79086e+00,1.76e-03,2.00e-01, 
-4.78940e+00,1.20e-03,1.80e-01, 
-4.78793e+00,1.68e-03,2.00e-01, 
-4.78647e+00,1.52e-03,2.00e-01, 
-4.78500e+00,1.44e-03,2.00e-01, 
-4.78354e+00,1.68e-03,2.00e-01, 
-4.78207e+00,1.44e-03,2.00e-01, 
-4.78061e+00,1.52e-03,2.00e-01, 
-4.77914e+00,1.44e-03,2.00e-01, 
-4.77768e+00,1.36e-03,2.00e-01, 
-4.77621e+00,1.44e-03,2.00e-01, 
-4.77475e+00,1.52e-03,2.00e-01, 
-4.77328e+00,1.60e-03,2.20e-01, 
-4.77182e+00,1.36e-03,2.20e-01, 
-4.77036e+00,1.36e-03,2.00e-01, 
-4.76889e+00,1.36e-03,2.00e-01, 
-4.76743e+00,1.36e-03,2.00e-01, 
-4.76596e+00,1.28e-03,2.00e-01, 
-4.76450e+00,1.36e-03,2.00e-01, 
-4.76303e+00,1.60e-03,2.00e-01, 
-4.76157e+00,1.36e-03,2.20e-01, 
-4.76010e+00,1.36e-03,2.20e-01, 
-4.75864e+00,1.20e-03,2.20e-01, 
-4.75717e+00,1.28e-03,2.20e-01, 
-4.75571e+00,1.36e-03,2.00e-01, 
-4.75424e+00,1.36e-03,2.20e-01, 
-4.75278e+00,1.28e-03,2.40e-01, 
-4.75131e+00,1.36e-03,2.40e-01, 
-4.74985e+00,1.36e-03,2.40e-01, 
-4.74838e+00,1.36e-03,2.20e-01, 
-4.74692e+00,1.20e-03,2.40e-01, 
-4.74545e+00,1.36e-03,2.40e-01, 
-4.74399e+00,1.12e-03,2.60e-01, 
-4.74252e+00,1.36e-03,2.40e-01, 
-4.74106e+00,1.12e-03,2.40e-01, 
-4.73959e+00,1.12e-03,2.40e-01, 
-4.73813e+00,1.12e-03,2.40e-01, 
-4.73666e+00,9.60e-04,2.40e-01, 
-4.73520e+00,1.36e-03,2.40e-01, 
-4.73373e+00,1.12e-03,2.80e-01, 
-4.73227e+00,1.12e-03,2.40e-01, 
-4.73080e+00,8.80e-04,2.40e-01, 
-4.72934e+00,1.12e-03,2.40e-01, 
-4.72787e+00,1.12e-03,2.60e-01, 
-4.72641e+00,1.12e-03,2.80e-01, 
-4.72495e+00,1.12e-03,2.60e-01, 
-4.72348e+00,8.80e-04,2.60e-01, 
-4.72202e+00,1.04e-03,2.80e-01, 
-4.72055e+00,1.28e-03,2.60e-01, 
-4.71909e+00,1.28e-03,2.40e-01, 
-4.71762e+00,1.04e-03,2.60e-01, 
-4.71616e+00,1.12e-03,2.80e-01, 
-4.71469e+00,1.04e-03,2.60e-01, 
-4.71323e+00,8.00e-04,2.60e-01, 
-4.71176e+00,9.60e-04,2.40e-01, 
-4.71030e+00,1.12e-03,2.80e-01, 
-4.70883e+00,8.00e-04,2.60e-01, 
-4.70737e+00,6.40e-04,2.80e-01, 
-4.70590e+00,7.20e-04,2.80e-01, 
-4.70444e+00,8.00e-04,2.80e-01, 
-4.70297e+00,8.00e-04,2.80e-01, 
-4.70151e+00,1.04e-03,2.80e-01, 
-4.70004e+00,1.12e-03,2.80e-01, 
-4.69858e+00,8.00e-04,2.80e-01, 
-4.69711e+00,8.00e-04,2.80e-01, 
-4.69565e+00,8.80e-04,2.80e-01, 
-4.69418e+00,8.00e-04,2.80e-01, 
-4.69272e+00,1.04e-03,2.80e-01, 
-4.69125e+00,8.80e-04,2.80e-01, 
-4.68979e+00,8.00e-04,2.60e-01, 
-4.68832e+00,9.60e-04,2.80e-01, 
-4.68686e+00,8.00e-04,2.80e-01, 
-4.68539e+00,8.00e-04,2.80e-01, 
-4.68393e+00,8.80e-04,2.80e-01, 
-4.68246e+00,1.12e-03,2.80e-01, 
