,CH1,CH2
Second,Volt,Volt
-2.56000e-01,4.80e-04,-2.08e-01, 
-2.55707e-01,4.80e-04,-2.08e-01, 
-2.55414e-01,4.80e-04,-2.08e-01, 
-2.55121e-01,4.80e-04,-2.08e-01, 
-2.54828e-01,4.80e-04,-2.08e-01, 
-2.54535e-01,5.60e-04,-2.08e-01, 
-2.54242e-01,2.40e-04,-2.16e-01, 
-2.53949e-01,8.00e-04,-2.08e-01, 
-2.53656e-01,5.60e-04,-2.08e-01, 
-2.53363e-01,4.00e-04,-2.08e-01, 
-2.53070e-01,4.80e-04,-2.08e-01, 
-2.52777e-01,4.00e-04,-2.08e-01, 
-2.52484e-01,6.40e-04,-2.08e-01, 
-2.52191e-01,2.40e-04,-2.16e-01, 
-2.51899e-01,9.60e-04,-2.08e-01, 
-2.51606e-01,5.60e-04,-2.08e-01, 
-2.51312e-01,4.80e-04,-2.08e-01, 
-2.51020e-01,4.80e-04,-2.08e-01, 
-2.50727e-01,5.60e-04,-2.08e-01, 
-2.50434e-01,8.00e-04,-2.08e-01, 
-2.50141e-01,7.20e-04,-2.08e-01, 
-2.49848e-01,5.60e-04,-2.08e-01, 
-2.49555e-01,4.80e-04,-2.08e-01, 
-2.49262e-01,5.60e-04,-2.08e-01, 
-2.48969e-01,8.00e-04,-2.08e-01, 
-2.48676e-01,5.60e-04,-2.08e-01, 
-2.48383e-01,5.60e-04,-2.08e-01, 
-2.48090e-01,6.40e-04,-2.08e-01, 
-2.47797e-01,5.60e-04,-2.08e-01, 
-2.47504e-01,5.60e-04,-2.08e-01, 
-2.47211e-01,5.60e-04,-2.08e-01, 
-2.46918e-01,8.80e-04,-2.08e-01, 
-2.46625e-01,4.80e-04,-2.08e-01, 
-2.46332e-01,3.20e-04,-2.08e-01, 
-2.46039e-01,5.60e-04,-2.08e-01, 
-2.45746e-01,7.20e-04,-2.00e-01, 
-2.45453e-01,4.80e-04,-2.08e-01, 
-2.45160e-01,4.80e-04,-2.08e-01, 
-2.44867e-01,5.60e-04,-2.08e-01, 
-2.44574e-01,8.00e-04,-2.00e-01, 
-2.44281e-01,4.80e-04,-2.08e-01, 
-2.43988e-01,5.60e-04,-2.08e-01, 
-2.43695e-01,8.00e-04,-2.00e-01, 
-2.43402e-01,5.60e-04,-2.00e-01, 
-2.43109e-01,4.80e-04,-2.00e-01, 
-2.42816e-01,7.20e-04,-2.00e-01, 
-2.42523e-01,6.40e-04,-2.08e-01, 
-2.42231e-01,4.00e-04,-2.08e-01, 
-2.41938e-01,4.00e-04,-2.08e-01, 
-2.41645e-01,2.40e-04,-2.08e-01, 
-2.41352e-01,8.80e-04,-1.92e-01, 
-2.41059e-01,5.60e-04,-2.00e-01, 
-2.40766e-01,4.00e-04,-2.08e-01, 
-2.40473e-01,4.80e-04,-2.00e-01, 
-2.40180e-01,5.60e-04,-2.00e-01, 
-2.39887e-01,4.80e-04,-2.08e-01, 
-2.39594e-01,4.80e-04,-2.00e-01, 
-2.39301e-01,8.00e-04,-2.00e-01, 
-2.39008e-01,3.20e-04,-2.08e-01, 
-2.38715e-01,6.40e-04,-2.00e-01, 
-2.38422e-01,3.20e-04,-2.00e-01, 
-2.38129e-01,6.40e-04,-1.92e-01, 
-2.37836e-01,2.40e-04,-2.00e-01, 
-2.37543e-01,8.00e-04,-1.92e-01, 
-2.37250e-01,5.60e-04,-2.08e-01, 
-2.36957e-01,8.00e-04,-1.92e-01, 
-2.36664e-01,4.00e-04,-2.00e-01, 
-2.36371e-01,3.20e-04,-2.00e-01, 
-2.36078e-01,5.60e-04,-2.00e-01, 
-2.35785e-01,5.60e-04,-1.92e-01, 
-2.35492e-01,4.80e-04,-2.00e-01, 
-2.35199e-01,2.40e-04,-2.00e-01, 
-2.34906e-01,7.20e-04,-1.92e-01, 
-2.34613e-01,6.40e-04,-2.00e-01, 
-2.34320e-01,5.60e-04,-1.92e-01, 
-2.34027e-01,5.60e-04,-1.92e-01, 
-2.33734e-01,4.80e-04,-2.00e-01, 
-2.33441e-01,5.60e-04,-1.92e-01, 
-2.33148e-01,2.40e-04,-1.92e-01, 
-2.32856e-01,8.00e-04,-1.92e-01, 
-2.32563e-01,5.60e-04,-1.92e-01, 
-2.32270e-01,5.60e-04,-1.92e-01, 
-2.31977e-01,5.60e-04,-1.92e-01, 
-2.31684e-01,2.40e-04,-1.92e-01, 
-2.31391e-01,6.40e-04,-1.92e-01, 
-2.31098e-01,5.60e-04,-1.92e-01, 
-2.30805e-01,4.80e-04,-1.92e-01, 
-2.30512e-01,5.60e-04,-1.92e-01, 
-2.30219e-01,8.00e-04,-1.92e-01, 
-2.29926e-01,5.60e-04,-1.92e-01, 
-2.29633e-01,5.60e-04,-1.92e-01, 
-2.29340e-01,9.60e-04,-1.84e-01, 
-2.29047e-01,4.80e-04,-1.92e-01, 
-2.28754e-01,4.80e-04,-1.92e-01, 
-2.28461e-01,4.80e-04,-1.84e-01, 
-2.28168e-01,7.20e-04,-1.76e-01, 
-2.27875e-01,5.60e-04,-1.84e-01, 
-2.27582e-01,5.60e-04,-1.92e-01, 
-2.27289e-01,4.80e-04,-1.84e-01, 
-2.26996e-01,7.20e-04,-1.84e-01, 
-2.26703e-01,4.80e-04,-1.84e-01, 
-2.26410e-01,4.00e-04,-1.84e-01, 
-2.26117e-01,8.00e-04,-1.84e-01, 
-2.25824e-01,4.80e-04,-1.84e-01, 
-2.25531e-01,3.20e-04,-1.84e-01, 
-2.25238e-01,8.00e-04,-1.84e-01, 
-2.24945e-01,4.00e-04,-1.76e-01, 
-2.24652e-01,3.20e-04,-1.84e-01, 
-2.24359e-01,8.00e-04,-1.76e-01, 
-2.24066e-01,4.80e-04,-1.84e-01, 
-2.23773e-01,5.60e-04,-1.84e-01, 
-2.23480e-01,5.60e-04,-1.84e-01, 
-2.23188e-01,4.80e-04,-1.84e-01, 
-2.22895e-01,5.60e-04,-1.84e-01, 
-2.22602e-01,4.00e-04,-1.84e-01, 
-2.22309e-01,5.60e-04,-1.84e-01, 
-2.22016e-01,5.60e-04,-1.84e-01, 
-2.21723e-01,3.20e-04,-1.84e-01, 
-2.21430e-01,7.20e-04,-1.76e-01, 
-2.21137e-01,5.60e-04,-1.84e-01, 
-2.20844e-01,9.60e-04,-1.76e-01, 
-2.20551e-01,7.20e-04,-1.84e-01, 
-2.20258e-01,8.00e-04,-1.76e-01, 
-2.19965e-01,4.00e-04,-1.84e-01, 
-2.19672e-01,8.00e-04,-1.76e-01, 
-2.19379e-01,2.40e-04,-1.84e-01, 
-2.19086e-01,7.20e-04,-1.76e-01, 
-2.18793e-01,4.80e-04,-1.84e-01, 
-2.18500e-01,8.00e-04,-1.76e-01, 
-2.18207e-01,6.40e-04,-1.84e-01, 
-2.17914e-01,9.60e-04,-1.76e-01, 
-2.17621e-01,5.60e-04,-1.76e-01, 
-2.17328e-01,4.00e-04,-1.76e-01, 
-2.17035e-01,5.60e-04,-1.76e-01, 
-2.16742e-01,5.60e-04,-1.76e-01, 
-2.16449e-01,5.60e-04,-1.76e-01, 
-2.16156e-01,3.20e-04,-1.76e-01, 
-2.15863e-01,8.00e-04,-1.76e-01, 
-2.15570e-01,6.40e-04,-1.76e-01, 
-2.15277e-01,5.60e-04,-1.76e-01, 
-2.14984e-01,4.80e-04,-1.76e-01, 
-2.14691e-01,2.40e-04,-1.76e-01, 
-2.14399e-01,9.60e-04,-1.76e-01, 
-2.14105e-01,5.60e-04,-1.76e-01, 
-2.13813e-01,4.80e-04,-1.76e-01, 
-2.13520e-01,8.00e-04,-1.76e-01, 
-2.13227e-01,5.60e-04,-1.76e-01, 
-2.12934e-01,5.60e-04,-1.76e-01, 
-2.12641e-01,9.60e-04,-1.76e-01, 
-2.12348e-01,4.80e-04,-1.76e-01, 
-2.12055e-01,3.20e-04,-1.76e-01, 
-2.11762e-01,6.40e-04,-1.76e-01, 
-2.11469e-01,5.60e-04,-1.76e-01, 
-2.11176e-01,7.20e-04,-1.76e-01, 
-2.10883e-01,6.40e-04,-1.76e-01, 
-2.10590e-01,8.80e-04,-1.76e-01, 
-2.10297e-01,4.80e-04,-1.76e-01, 
-2.10004e-01,4.00e-04,-1.76e-01, 
-2.09711e-01,5.60e-04,-1.76e-01, 
-2.09418e-01,8.00e-04,-1.76e-01, 
-2.09125e-01,8.00e-04,-1.76e-01, 
-2.08832e-01,5.60e-04,-1.68e-01, 
-2.08539e-01,8.00e-04,-1.68e-01, 
-2.08246e-01,5.60e-04,-1.76e-01, 
-2.07953e-01,5.60e-04,-1.68e-01, 
-2.07660e-01,7.20e-04,-1.68e-01, 
-2.07367e-01,7.20e-04,-1.76e-01, 
-2.07074e-01,4.80e-04,-1.68e-01, 
-2.06781e-01,6.40e-04,-1.68e-01, 
-2.06488e-01,5.60e-04,-1.76e-01, 
-2.06195e-01,4.00e-04,-1.68e-01, 
-2.05902e-01,4.80e-04,-1.76e-01, 
-2.05609e-01,2.40e-04,-1.76e-01, 
-2.05316e-01,7.20e-04,-1.68e-01, 
-2.05024e-01,4.80e-04,-1.68e-01, 
-2.04731e-01,4.80e-04,-1.68e-01, 
-2.04437e-01,6.40e-04,-1.68e-01, 
-2.04145e-01,4.80e-04,-1.68e-01, 
-2.03852e-01,4.80e-04,-1.68e-01, 
-2.03559e-01,4.80e-04,-1.68e-01, 
-2.03266e-01,5.60e-04,-1.68e-01, 
-2.02973e-01,6.40e-04,-1.68e-01, 
-2.02680e-01,4.80e-04,-1.68e-01, 
-2.02387e-01,6.40e-04,-1.68e-01, 
-2.02094e-01,4.80e-04,-1.68e-01, 
-2.01801e-01,5.60e-04,-1.68e-01, 
-2.01508e-01,5.60e-04,-1.60e-01, 
-2.01215e-01,4.80e-04,-1.68e-01, 
-2.00922e-01,5.60e-04,-1.60e-01, 
-2.00629e-01,5.60e-04,-1.68e-01, 
-2.00336e-01,5.60e-04,-1.60e-01, 
-2.00043e-01,5.60e-04,-1.60e-01, 
-1.99750e-01,6.40e-04,-1.68e-01, 
-1.99457e-01,5.60e-04,-1.68e-01, 
-1.99164e-01,5.60e-04,-1.60e-01, 
