,CH1,CH2
Second,Volt,Volt
3.47632e-02,4.00e-03,-2.00e-01, 
3.47640e-02,4.00e-03,-2.00e-01, 
3.47648e-02,4.00e-03,-2.00e-01, 
3.47656e-02,4.00e-03,-2.00e-01, 
3.47664e-02,4.00e-03,-2.00e-01, 
3.47672e-02,4.00e-03,-2.00e-01, 
3.47680e-02,4.00e-03,0.00e+00, 
3.47688e-02,4.00e-03,-2.00e-01, 
3.47696e-02,4.00e-03,-2.00e-01, 
3.47704e-02,4.00e-03,-2.00e-01, 
3.47712e-02,4.00e-03,-2.00e-01, 
3.47720e-02,4.00e-03,-2.00e-01, 
3.47728e-02,4.00e-03,-2.00e-01, 
3.47736e-02,4.00e-03,-2.00e-01, 
3.47744e-02,4.00e-03,-2.00e-01, 
3.47752e-02,4.00e-03,-2.00e-01, 
3.47760e-02,4.00e-03,-2.00e-01, 
3.47768e-02,4.00e-03,-2.00e-01, 
3.47776e-02,4.00e-03,-2.00e-01, 
3.47784e-02,4.00e-03,-2.00e-01, 
3.47792e-02,4.00e-03,-2.00e-01, 
3.47800e-02,4.00e-03,-2.00e-01, 
3.47808e-02,4.00e-03,-2.00e-01, 
3.47816e-02,4.40e-03,-2.00e-01, 
3.47824e-02,4.00e-03,-2.00e-01, 
3.47832e-02,4.40e-03,-2.00e-01, 
3.47840e-02,4.40e-03,-2.00e-01, 
3.47848e-02,4.40e-03,-2.00e-01, 
3.47856e-02,4.80e-03,-2.00e-01, 
3.47864e-02,4.40e-03,-2.00e-01, 
3.47872e-02,4.80e-03,-2.00e-01, 
3.47880e-02,4.80e-03,-2.00e-01, 
3.47888e-02,4.40e-03,-2.00e-01, 
3.47896e-02,4.80e-03,-2.00e-01, 
3.47904e-02,4.00e-03,-2.00e-01, 
3.47912e-02,4.40e-03,-2.00e-01, 
3.47920e-02,4.80e-03,0.00e+00, 
3.47928e-02,4.40e-03,-2.00e-01, 
3.47936e-02,4.40e-03,-2.00e-01, 
3.47944e-02,4.40e-03,-2.00e-01, 
3.47952e-02,4.40e-03,-2.00e-01, 
3.47960e-02,4.40e-03,-2.00e-01, 
3.47968e-02,4.80e-03,-2.00e-01, 
3.47976e-02,4.80e-03,-2.00e-01, 
3.47984e-02,4.40e-03,-2.00e-01, 
3.47992e-02,4.40e-03,-2.00e-01, 
3.48000e-02,4.80e-03,-2.00e-01, 
3.48008e-02,4.40e-03,-2.00e-01, 
3.48016e-02,4.80e-03,-2.00e-01, 
3.48024e-02,5.20e-03,-2.00e-01, 
3.48032e-02,5.20e-03,-2.00e-01, 
3.48040e-02,4.80e-03,-2.00e-01, 
3.48048e-02,4.80e-03,-2.00e-01, 
3.48056e-02,4.80e-03,-2.00e-01, 
3.48064e-02,5.20e-03,-2.00e-01, 
3.48072e-02,5.20e-03,-2.00e-01, 
3.48080e-02,5.20e-03,-2.00e-01, 
