,CH1,CH2
Second,Volt,Volt
8.46752e-02,-6.00e-04,-2.00e-01, 
8.46760e-02,-6.00e-04,-2.00e-01, 
8.46768e-02,-6.00e-04,-2.00e-01, 
8.46776e-02,-6.00e-04,-2.00e-01, 
8.46784e-02,-6.00e-04,-2.00e-01, 
8.46792e-02,-8.00e-04,-2.00e-01, 
8.46800e-02,-8.00e-04,-2.00e-01, 
8.46808e-02,-1.00e-03,-2.00e-01, 
8.46816e-02,-1.00e-03,-2.00e-01, 
8.46824e-02,-1.00e-03,-2.00e-01, 
8.46832e-02,-1.00e-03,-2.00e-01, 
8.46840e-02,-1.20e-03,-2.00e-01, 
8.46848e-02,-1.00e-03,-2.00e-01, 
8.46856e-02,-1.20e-03,-2.00e-01, 
8.46864e-02,-1.00e-03,-2.00e-01, 
8.46872e-02,-1.00e-03,-2.00e-01, 
8.46880e-02,-1.00e-03,-2.00e-01, 
8.46888e-02,-1.00e-03,-2.00e-01, 
8.46896e-02,-1.00e-03,-2.00e-01, 
8.46904e-02,-1.20e-03,-2.00e-01, 
8.46912e-02,-1.00e-03,-2.00e-01, 
8.46920e-02,-1.00e-03,-2.00e-01, 
8.46928e-02,-1.00e-03,-2.00e-01, 
8.46936e-02,-8.00e-04,-2.00e-01, 
8.46944e-02,-4.00e-04,-2.00e-01, 
8.46952e-02,-4.00e-04,-2.00e-01, 
8.46960e-02,-4.00e-04,-2.00e-01, 
8.46968e-02,-6.00e-04,-2.00e-01, 
8.46976e-02,-6.00e-04,-2.00e-01, 
8.46984e-02,-6.00e-04,-2.00e-01, 
8.46992e-02,-6.00e-04,-2.00e-01, 
8.47000e-02,-6.00e-04,-2.00e-01, 
8.47008e-02,-8.00e-04,-2.00e-01, 
8.47016e-02,-1.00e-03,-2.00e-01, 
8.47024e-02,-8.00e-04,-2.00e-01, 
8.47032e-02,-8.00e-04,-2.00e-01, 
8.47040e-02,-8.00e-04,-2.00e-01, 
8.47048e-02,-8.00e-04,-2.00e-01, 
8.47056e-02,-8.00e-04,-2.00e-01, 
8.47064e-02,-8.00e-04,-2.00e-01, 
8.47072e-02,-8.00e-04,-2.00e-01, 
8.47080e-02,-8.00e-04,-2.00e-01, 
8.47088e-02,-8.00e-04,-2.00e-01, 
8.47096e-02,-8.00e-04,-2.00e-01, 
8.47104e-02,-6.00e-04,-2.00e-01, 
8.47112e-02,-8.00e-04,-2.00e-01, 
8.47120e-02,-1.00e-03,-2.00e-01, 
8.47128e-02,-8.00e-04,-2.00e-01, 
8.47136e-02,-1.00e-03,-2.00e-01, 
8.47144e-02,-1.00e-03,-2.00e-01, 
8.47152e-02,-8.00e-04,-2.00e-01, 
8.47160e-02,-8.00e-04,-2.00e-01, 
8.47168e-02,-1.00e-03,-2.00e-01, 
8.47176e-02,-8.00e-04,-2.00e-01, 
8.47184e-02,-1.00e-03,-2.00e-01, 
8.47192e-02,-8.00e-04,-2.00e-01, 
8.47200e-02,-6.00e-04,-2.00e-01, 
8.47208e-02,-6.00e-04,-2.00e-01, 
8.47216e-02,-6.00e-04,-2.00e-01, 
8.47224e-02,-6.00e-04,-2.00e-01, 
8.47232e-02,-6.00e-04,-2.00e-01, 
8.47240e-02,-6.00e-04,-2.00e-01, 
8.47248e-02,-6.00e-04,-2.00e-01, 
8.47256e-02,-4.00e-04,-2.00e-01, 
8.47264e-02,-6.00e-04,-2.00e-01, 
8.47272e-02,-6.00e-04,-2.00e-01, 
8.47280e-02,-6.00e-04,-2.00e-01, 
8.47288e-02,-6.00e-04,-2.00e-01, 
8.47296e-02,-6.00e-04,-2.00e-01, 
8.47304e-02,-6.00e-04,-2.00e-01, 
8.47312e-02,-8.00e-04,-2.00e-01, 
8.47320e-02,-8.00e-04,-2.00e-01, 
8.47328e-02,-1.00e-03,-2.00e-01, 
8.47336e-02,-1.00e-03,-2.00e-01, 
8.47344e-02,-1.00e-03,-2.00e-01, 
8.47352e-02,-1.00e-03,-2.00e-01, 
8.47360e-02,-1.00e-03,-2.00e-01, 
8.47368e-02,-1.20e-03,-2.00e-01, 
8.47376e-02,-1.20e-03,-2.00e-01, 
8.47384e-02,-1.20e-03,-2.00e-01, 
8.47392e-02,-1.40e-03,-2.00e-01, 
8.47400e-02,-1.60e-03,-2.00e-01, 
8.47408e-02,-1.40e-03,-2.00e-01, 
8.47416e-02,-1.40e-03,-2.00e-01, 
8.47424e-02,-1.20e-03,-2.00e-01, 
8.47432e-02,-1.20e-03,-2.00e-01, 
8.47440e-02,-1.20e-03,-2.00e-01, 
8.47448e-02,-1.20e-03,-2.00e-01, 
8.47456e-02,-1.20e-03,-2.00e-01, 
8.47464e-02,-1.00e-03,-2.00e-01, 
8.47472e-02,-1.00e-03,-2.00e-01, 
8.47480e-02,-1.00e-03,0.00e+00, 
8.47488e-02,-1.00e-03,-2.00e-01, 
8.47496e-02,-1.00e-03,-2.00e-01, 
8.47504e-02,-1.00e-03,-2.00e-01, 
8.47512e-02,-1.00e-03,-2.00e-01, 
8.47520e-02,-1.00e-03,-2.00e-01, 
8.47528e-02,-1.00e-03,-2.00e-01, 
8.47536e-02,-1.00e-03,-2.00e-01, 
8.47544e-02,-1.00e-03,-2.00e-01, 
8.47552e-02,-1.20e-03,-2.00e-01, 
8.47560e-02,-1.20e-03,-2.00e-01, 
8.47568e-02,-1.20e-03,-2.00e-01, 
8.47576e-02,-1.00e-03,-2.00e-01, 
8.47584e-02,-1.00e-03,-2.00e-01, 
8.47592e-02,-1.00e-03,-2.00e-01, 
8.47600e-02,-1.00e-03,-2.00e-01, 
8.47608e-02,-1.00e-03,-2.00e-01, 
8.47616e-02,-1.00e-03,-2.00e-01, 
8.47624e-02,-1.00e-03,-2.00e-01, 
8.47632e-02,-1.40e-03,-2.00e-01, 
8.47640e-02,-1.20e-03,-2.00e-01, 
8.47648e-02,-1.20e-03,-2.00e-01, 
8.47656e-02,-1.20e-03,-2.00e-01, 
8.47664e-02,-1.20e-03,-2.00e-01, 
8.47672e-02,-1.00e-03,-2.00e-01, 
8.47680e-02,-1.00e-03,-2.00e-01, 
8.47688e-02,-1.00e-03,-2.00e-01, 
8.47696e-02,-1.00e-03,-2.00e-01, 
8.47704e-02,-1.00e-03,-2.00e-01, 
8.47712e-02,-1.00e-03,-2.00e-01, 
8.47720e-02,-1.20e-03,-2.00e-01, 
8.47728e-02,-1.00e-03,-2.00e-01, 
8.47736e-02,-1.00e-03,-2.00e-01, 
8.47744e-02,-1.00e-03,-2.00e-01, 
8.47752e-02,-1.00e-03,-2.00e-01, 
8.47760e-02,-1.00e-03,-2.00e-01, 
8.47768e-02,-8.00e-04,-2.00e-01, 
8.47776e-02,-8.00e-04,-2.00e-01, 
8.47784e-02,-8.00e-04,-2.00e-01, 
8.47792e-02,-8.00e-04,-2.00e-01, 
8.47800e-02,-8.00e-04,-2.00e-01, 
8.47808e-02,-8.00e-04,-2.00e-01, 
8.47816e-02,-8.00e-04,-2.00e-01, 
8.47824e-02,-1.00e-03,-2.00e-01, 
8.47832e-02,-1.00e-03,-2.00e-01, 
8.47840e-02,-1.00e-03,-2.00e-01, 
8.47848e-02,-1.00e-03,-2.00e-01, 
8.47856e-02,-1.00e-03,-2.00e-01, 
8.47864e-02,-1.00e-03,-2.00e-01, 
8.47872e-02,-1.00e-03,-2.00e-01, 
8.47880e-02,-1.00e-03,-2.00e-01, 
8.47888e-02,-1.00e-03,-2.00e-01, 
8.47896e-02,-1.00e-03,-2.00e-01, 
8.47904e-02,-8.00e-04,-2.00e-01, 
8.47912e-02,-1.00e-03,-2.00e-01, 
8.47920e-02,-1.00e-03,-2.00e-01, 
8.47928e-02,-1.00e-03,-2.00e-01, 
8.47936e-02,-1.00e-03,-2.00e-01, 
8.47944e-02,-1.00e-03,-2.00e-01, 
8.47952e-02,-1.00e-03,-2.00e-01, 
8.47960e-02,-1.00e-03,-2.00e-01, 
