,CH1,CH2
Second,Volt,Volt
7.23152e-02,1.20e-03,-2.00e-01, 
7.23160e-02,1.20e-03,-2.00e-01, 
7.23168e-02,1.20e-03,-2.00e-01, 
7.23176e-02,1.20e-03,-2.00e-01, 
7.23184e-02,1.20e-03,-2.00e-01, 
7.23192e-02,1.20e-03,-2.00e-01, 
7.23200e-02,1.20e-03,-2.00e-01, 
7.23208e-02,1.20e-03,-2.00e-01, 
7.23216e-02,8.00e-04,-2.00e-01, 
7.23224e-02,8.00e-04,-2.00e-01, 
7.23232e-02,8.00e-04,-2.00e-01, 
7.23240e-02,8.00e-04,-2.00e-01, 
7.23248e-02,8.00e-04,-2.00e-01, 
7.23256e-02,1.20e-03,-2.00e-01, 
7.23264e-02,1.20e-03,-2.00e-01, 
7.23272e-02,1.20e-03,-2.00e-01, 
7.23280e-02,1.20e-03,-2.00e-01, 
7.23288e-02,8.00e-04,-2.00e-01, 
7.23296e-02,8.00e-04,-2.00e-01, 
7.23304e-02,8.00e-04,-2.00e-01, 
7.23312e-02,1.20e-03,-2.00e-01, 
7.23320e-02,1.20e-03,-2.00e-01, 
7.23328e-02,1.20e-03,-2.00e-01, 
7.23336e-02,1.20e-03,-2.00e-01, 
7.23344e-02,8.00e-04,-2.00e-01, 
7.23352e-02,8.00e-04,-2.00e-01, 
7.23360e-02,1.20e-03,-2.00e-01, 
7.23368e-02,8.00e-04,-2.00e-01, 
7.23376e-02,8.00e-04,-2.00e-01, 
7.23384e-02,8.00e-04,-2.00e-01, 
7.23392e-02,8.00e-04,-2.00e-01, 
7.23400e-02,8.00e-04,-2.00e-01, 
7.23408e-02,8.00e-04,-2.00e-01, 
7.23416e-02,8.00e-04,-2.00e-01, 
7.23424e-02,1.20e-03,-2.00e-01, 
7.23432e-02,8.00e-04,-2.00e-01, 
7.23440e-02,1.20e-03,-2.00e-01, 
7.23448e-02,1.20e-03,-2.00e-01, 
7.23456e-02,1.20e-03,-2.00e-01, 
7.23464e-02,1.20e-03,-2.00e-01, 
7.23472e-02,1.20e-03,-2.00e-01, 
7.23480e-02,1.20e-03,-2.00e-01, 
7.23488e-02,1.20e-03,-2.00e-01, 
7.23496e-02,8.00e-04,-2.00e-01, 
7.23504e-02,8.00e-04,-2.00e-01, 
7.23512e-02,8.00e-04,-2.00e-01, 
7.23520e-02,8.00e-04,-2.00e-01, 
